siren,siret_siege,denomination,nom_usage,sigle,naf,naf_numerique,tags_numerique,categorie_juridique,famille_ess,flag_ess_sirene,est_active,date_creation,tranche_effectifs,annee_effectifs,categorie_entreprise,caractere_employeur,societe_mission,rna,code_postal,commune,site_web,nom_structure_porteuse,sources,origines,methode_jointure,confiance_jointure,score_enrichissement
316313592,31631359200024,VILLENEUVE ST GEORGES INFOR,,,63.11Z,True,hebergement,9220.0,association,True,True,1979-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
317119774,31711977400022,ORGAN TEMPOR 10 COLLOQ RADIO IMMONOLOGUE,,,63.11Z,True,hebergement,9220.0,association,True,True,1979-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
317252799,31725279900026,ASS VALLEE OISE ORGAN CONGRES,,,63.11Z,True,hebergement,9220.0,association,True,True,1979-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
317454114,31745411400032,LES AMIS DU PERE LEBRET,,,63.11Z,True,hebergement,9220.0,association,True,True,1979-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
317495646,31749564600042,ALMA,,,62.01Z,True,dev_logiciel,5560.0,cooperative,True,True,1979-01-01,22,2023.0,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
317517654,31751765400016,CENTRE ETUDES MICRO ORDINATEUR SERVICES,,CEMOS,63.11Z,True,hebergement,9220.0,association,True,True,1979-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
317888162,31788816200045,CHAROLAIS INFORMATIQUE,,,63.11Z,True,hebergement,9220.0,association,True,True,1980-01-01,NN,,,,,W583002403,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
318149069,31814906900011,VIDEOGRAMME DE L ELYSEES,,,63.11Z,True,hebergement,9220.0,association,True,True,1980-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
318636123,31863612300016,CTRE DOCUMENTATION TIERS MONDE,,RITIMO,63.11Z,True,hebergement,9220.0,association,True,True,1980-01-01,01,2023.0,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
318685757,31868575700011,CLUB INFORMAT DU DETAIL,,,63.11Z,True,hebergement,9220.0,association,True,True,1980-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
318720810,31872081000023,GROUPE LIEUX COMMUNS,,,63.11Z,True,hebergement,9220.0,association,True,True,1980-01-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
319393500,31939350000016,COPROPRIETE LE FONTAINEBLEAU,,,63.11Z,True,hebergement,9220.0,association,True,True,1980-04-01,NN,,PME,,,,,,,,ess_france|sirene,cate_x_naf|ess_flag_insee|ess_x_naf,siren_direct,1.0,0.67
319754883,31975488300019,ASSOC INTERPROF SERV SUD AISNE,,,63.11Z,True,hebergement,9220.0,association,True,True,1980-07-03,NN,,,,,W024000172,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
320279755,32027975500039,CTRE INFORM MUTUAL AGRIC FLAND ART PICAR,,CIMAFAP,63.11Z,True,hebergement,9220.0,association,True,True,1979-07-18,NN,,,,,W595007019,,,,,sirene,cate_x_naf|ess_flag_insee,siren_direct,1.0,0.75
